,OFFICE / BALLOT ISSUE,PARTY,COUNTY,CANDIDATE / BALLOT ISSUE TITLE,YES VOTES,YES PERCENT,NO VOTES,NO PERCENT
65,President/Vice President,Republican Party,ADAMS,Donald J. Trump / Michael R. Pence,"80,082",2.88%,,
66,President/Vice President,Republican Party,ALAMOSA,Donald J. Trump / Michael R. Pence,"3,046",0.11%,,
67,President/Vice President,Republican Party,ARAPAHOE,Donald J. Trump / Michael R. Pence,"117,053",4.21%,,
68,President/Vice President,Republican Party,ARCHULETA,Donald J. Trump / Michael R. Pence,"4,264",0.15%,,
69,President/Vice President,Republican Party,BACA,Donald J. Trump / Michael R. Pence,"1,753",0.06%,,
70,President/Vice President,Republican Party,BENT,Donald J. Trump / Michael R. Pence,"1,188",0.04%,,
71,President/Vice President,Republican Party,BOULDER,Donald J. Trump / Michael R. Pence,"41,396",1.49%,,
72,President/Vice President,Republican Party,BROOMFIELD,Donald J. Trump / Michael R. Pence,"14,367",0.52%,,
73,President/Vice President,Republican Party,CHAFFEE,Donald J. Trump / Michael R. Pence,"5,391",0.19%,,
74,President/Vice President,Republican Party,CHEYENNE,Donald J. Trump / Michael R. Pence,925,0.03%,,
75,President/Vice President,Republican Party,CLEAR CREEK,Donald J. Trump / Michael R. Pence,"2,575",0.09%,,
76,President/Vice President,Republican Party,CONEJOS,Donald J. Trump / Michael R. Pence,"1,914",0.07%,,
77,President/Vice President,Republican Party,COSTILLA,Donald J. Trump / Michael R. Pence,588,0.02%,,
78,President/Vice President,Republican Party,CROWLEY,Donald J. Trump / Michael R. Pence,"1,079",0.04%,,
79,President/Vice President,Republican Party,CUSTER,Donald J. Trump / Michael R. Pence,"2,061",0.07%,,
80,President/Vice President,Republican Party,DELTA,Donald J. Trump / Michael R. Pence,"11,655",0.42%,,
81,President/Vice President,Republican Party,DENVER,Donald J. Trump / Michael R. Pence,"62,690",2.25%,,
82,President/Vice President,Republican Party,DOLORES,Donald J. Trump / Michael R. Pence,944,0.03%,,
83,President/Vice President,Republican Party,DOUGLAS,Donald J. Trump / Michael R. Pence,"102,573",3.69%,,
84,President/Vice President,Republican Party,EAGLE,Donald J. Trump / Michael R. Pence,"8,990",0.32%,,
85,President/Vice President,Republican Party,ELBERT,Donald J. Trump / Michael R. Pence,"11,705",0.42%,,
86,President/Vice President,Republican Party,EL PASO,Donald J. Trump / Michael R. Pence,"179,228",6.45%,,
87,President/Vice President,Republican Party,FREMONT,Donald J. Trump / Michael R. Pence,"15,122",0.54%,,
88,President/Vice President,Republican Party,GARFIELD,Donald J. Trump / Michael R. Pence,"13,132",0.47%,,
89,President/Vice President,Republican Party,GILPIN,Donald J. Trump / Michael R. Pence,"1,566",0.06%,,
90,President/Vice President,Republican Party,GRAND,Donald J. Trump / Michael R. Pence,"4,494",0.16%,,
91,President/Vice President,Republican Party,GUNNISON,Donald J. Trump / Michael R. Pence,"3,289",0.12%,,
92,President/Vice President,Republican Party,HINSDALE,Donald J. Trump / Michael R. Pence,339,0.01%,,
93,President/Vice President,Republican Party,HUERFANO,Donald J. Trump / Michael R. Pence,"1,883",0.07%,,
94,President/Vice President,Republican Party,JACKSON,Donald J. Trump / Michael R. Pence,629,0.02%,,
95,President/Vice President,Republican Party,JEFFERSON,Donald J. Trump / Michael R. Pence,"138,177",4.97%,,
96,President/Vice President,Republican Party,KIOWA,Donald J. Trump / Michael R. Pence,728,0.03%,,
97,President/Vice President,Republican Party,KIT CARSON,Donald J. Trump / Michael R. Pence,"2,967",0.11%,,
98,President/Vice President,Republican Party,LAKE,Donald J. Trump / Michael R. Pence,"1,270",0.05%,,
99,President/Vice President,Republican Party,LA PLATA,Donald J. Trump / Michael R. Pence,"12,587",0.45%,,
100,President/Vice President,Republican Party,LARIMER,Donald J. Trump / Michael R. Pence,"83,430",3.00%,,
101,President/Vice President,Republican Party,LAS ANIMAS,Donald J. Trump / Michael R. Pence,"3,710",0.13%,,
102,President/Vice President,Republican Party,LINCOLN,Donald J. Trump / Michael R. Pence,"1,892",0.07%,,
103,President/Vice President,Republican Party,LOGAN,Donald J. Trump / Michael R. Pence,"7,282",0.26%,,
104,President/Vice President,Republican Party,MESA,Donald J. Trump / Michael R. Pence,"49,779",1.79%,,
105,President/Vice President,Republican Party,MINERAL,Donald J. Trump / Michael R. Pence,344,0.01%,,
106,President/Vice President,Republican Party,MOFFAT,Donald J. Trump / Michael R. Pence,"5,305",0.19%,,
107,President/Vice President,Republican Party,MONTEZUMA,Donald J. Trump / Michael R. Pence,"7,853",0.28%,,
108,President/Vice President,Republican Party,MONTROSE,Donald J. Trump / Michael R. Pence,"14,382",0.52%,,
109,President/Vice President,Republican Party,MORGAN,Donald J. Trump / Michael R. Pence,"8,145",0.29%,,
110,President/Vice President,Republican Party,OTERO,Donald J. Trump / Michael R. Pence,"4,928",0.18%,,
111,President/Vice President,Republican Party,OURAY,Donald J. Trump / Michael R. Pence,"1,351",0.05%,,
112,President/Vice President,Republican Party,PARK,Donald J. Trump / Michael R. Pence,"6,135",0.22%,,
113,President/Vice President,Republican Party,PHILLIPS,Donald J. Trump / Michael R. Pence,"1,791",0.06%,,
114,President/Vice President,Republican Party,PITKIN,Donald J. Trump / Michael R. Pence,"2,550",0.09%,,
115,President/Vice President,Republican Party,PROWERS,Donald J. Trump / Michael R. Pence,"3,531",0.13%,,
116,President/Vice President,Republican Party,PUEBLO,Donald J. Trump / Michael R. Pence,"36,265",1.30%,,
117,President/Vice President,Republican Party,RIO BLANCO,Donald J. Trump / Michael R. Pence,"2,791",0.10%,,
118,President/Vice President,Republican Party,RIO GRANDE,Donald J. Trump / Michael R. Pence,"3,085",0.11%,,
119,President/Vice President,Republican Party,ROUTT,Donald J. Trump / Michael R. Pence,"5,230",0.19%,,
120,President/Vice President,Republican Party,SAGUACHE,Donald J. Trump / Michael R. Pence,"1,147",0.04%,,
121,President/Vice President,Republican Party,SAN JUAN,Donald J. Trump / Michael R. Pence,215,0.01%,,
122,President/Vice President,Republican Party,SAN MIGUEL,Donald J. Trump / Michael R. Pence,"1,033",0.04%,,
123,President/Vice President,Republican Party,SEDGWICK,Donald J. Trump / Michael R. Pence,"1,015",0.04%,,
124,President/Vice President,Republican Party,SUMMIT,Donald J. Trump / Michael R. Pence,"5,100",0.18%,,
125,President/Vice President,Republican Party,TELLER,Donald J. Trump / Michael R. Pence,"9,745",0.35%,,
126,President/Vice President,Republican Party,WASHINGTON,Donald J. Trump / Michael R. Pence,"2,299",0.08%,,
127,President/Vice President,Republican Party,WELD,Donald J. Trump / Michael R. Pence,"76,651",2.76%,,
128,President/Vice President,Republican Party,YUMA,Donald J. Trump / Michael R. Pence,"3,850",0.14%,,
